src,dst,type,auth_type,logon_type,auth_orientation,success,time,weight,first_time,last_time,protocol,src_port,dst_port,pkt_count,byte_count,duration
C12247,C1065,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
ANONYMOUS LOGON@C1065,ANONYMOUS LOGON@C1065,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C4429,C1065,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C528,C528,auth,?,Network,LogOff,Success,147285.0,5,147285.0,147285.0,,,,,,
ANONYMOUS LOGON@C528,ANONYMOUS LOGON@C528,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C529,C529,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0,,,,,,
ANONYMOUS LOGON@C529,ANONYMOUS LOGON@C529,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C13455,C586,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C586,C586,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0,,,,,,
C2106,C2106,auth,?,Network,LogOff,Success,147285.0,3,147285.0,147285.0,,,,,,
C10045$@DOM1,C10045$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C1020$@DOM1,C1020$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C1025,C561,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1025$@DOM1,C1025$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C561,C561,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C1035,C467,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1035$@DOM1,C1035$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C467,C467,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C105,C104,auth,?,?,TGS,Success,147285.0,1,147285.0,,,,,,,
C104$@DOM1,C104$@DOM1,auth,?,?,TGS,Success,147285.0,1,147285.0,,,,,,,
C1042,C1042,auth,?,?,TGS,Success,147285.0,1,147285.0,,,,,,,
C1042$@DOM1,C1042$@DOM1,auth,?,?,TGS,Success,147285.0,1,147285.0,,,,,,,
C612,C612,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0,,,,,,
C10445$@DOM1,C10445$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C10805,C2106,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C10805$@DOM1,C10805$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1115,C1085,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1114$@DOM1,C1114$@DOM1,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C11639$@DOM1,C11639$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C11741$@DOM1,C11741$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C11886,C2106,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C11886$@DOM1,C11886$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C11888,C612,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C11888$@DOM1,C11888$@DOM1,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C12135,C528,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C12135$@DOM1,C12135$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C1214,C529,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1214$@DOM1,C1214$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C123$@DOM1,C123$@DOM1,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0,,,,,,
C527,C2106,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C457,C457,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0,,,,,,
C12702$@DOM1,C12702$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C13039,C13039,auth,?,?,TGS,Success,147285.0,1,147285.0,,,,,,,
C13039$@DOM1,C13039$@DOM1,auth,?,?,TGS,Success,147285.0,6,147285.0,147285.0,,,,,,
C13039,C529,auth,?,?,TGS,Success,147285.0,2,147285.0,147285.0,,,,,,
C13039,C586,auth,?,?,TGS,Success,147285.0,1,147285.0,,,,,,,
C13039,C612,auth,?,?,TGS,Success,147285.0,1,147285.0,,,,,,,
C13039,TGT,auth,?,?,TGS,Success,147285.0,1,147285.0,,,,,,,
C13084$@DOM1,C13084$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C1323$@DOM1,C1323$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C13455$@DOM1,C13455$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C13701,C13701,auth,?,?,AuthMap,Success,147285.0,3,147285.0,147285.0,,,,,,
C13701$@DOM1,C13701$@DOM1,auth,?,?,AuthMap,Success,147285.0,3,147285.0,147285.0,,,,,,
C13781,C13781,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0,,,,,,
C13781$@DOM1,C13781$@DOM1,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0,,,,,,
C13968,C528,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C13968$@DOM1,C13968$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1422,C2106,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1422$@DOM1,C1422$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C14354$@DOM1,C14354$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C801,C801,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C14670$@DOM1,C14670$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C14709,C528,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C14709$@DOM1,C14709$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C14746,C1015,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C14746$@DOM1,C14746$@DOM1,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1475,C457,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1475$@DOM1,C1475$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C10614,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C11227,C25856,flow,,,,,147285.0,1,147285.0,,6.0,N1415,22.0,1.0,46.0,0.0
C11667,C743,flow,,,,,147285.0,1,147285.0,,6.0,N3529,139.0,1.0,46.0,0.0
C1226,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C12267,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C12632,C467,flow,,,,,147285.0,1,147285.0,,17.0,123.0,123.0,1.0,96.0,0.0
C12941,C5721,flow,,,,,147285.0,1,147285.0,,6.0,N956,445.0,2.0,178.0,0.0
C13470,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C13490,C16712,flow,,,,,147285.0,1,147285.0,,6.0,22.0,N39398,1.0,46.0,0.0
C14394,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C14702,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C14967,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C15459,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C15549,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C16029,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C16712,C13283,flow,,,,,147285.0,1,147285.0,,6.0,N39398,22.0,1.0,76.0,0.0
C16712,C13490,flow,,,,,147285.0,2,147285.0,147285.0,6.0,N39398,22.0,1.0,76.0,0.0
C16712,C13570,flow,,,,,147285.0,1,147285.0,,6.0,N39398,22.0,1.0,76.0,0.0
C16712,C20261,flow,,,,,147285.0,1,147285.0,,6.0,N39398,22.0,1.0,76.0,0.0
C16712,C20893,flow,,,,,147285.0,2,147285.0,147285.0,6.0,N39398,22.0,1.0,76.0,0.0
C16712,C21112,flow,,,,,147285.0,1,147285.0,,6.0,N39398,22.0,1.0,76.0,0.0
C16712,C24911,flow,,,,,147285.0,1,147285.0,,6.0,N39398,22.0,1.0,76.0,0.0
C16712,C10614,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C1226,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C12267,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C13470,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C14394,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C14702,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C14967,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C15459,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C15549,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C16029,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C16756,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C1700,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C1843,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C185,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C1857,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C2128,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C24336,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C24474,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C2881,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C2882,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C3100,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C4814,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C8026,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C8492,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16712,C962,flow,,,,,147285.0,1,147285.0,,1.0,N78,N10,1.0,60.0,0.0
C16756,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
